scientific_name,latitude,longitude,observation_count
"Selliguea montana (Sledge) Hovenkamp",7.1,80.7,1
"Selliguea montana (Sledge) Hovenkamp",7.4,80.8,1
"Selliguea montana (Sledge) Hovenkamp",7.3,80.6,1
"Selliguea montana (Sledge) Hovenkamp",7.6,80.7,1
"Lindsaea ensifolia Sw.",7,81,1
"Lindsaea ensifolia Sw.",7.8,80.8,1
"Lindsaea ensifolia Sw.",7.3,80.5,1
"Lindsaea ensifolia Sw.",7.3,80.6,1
"Lindsaea ensifolia Sw.",7.1,80.6,1
"Microlepia platyphylla (D.Don) J.Sm.",7,81,1
"Microlepia platyphylla (D.Don) J.Sm.",7.3,80.6,1
"Asplenium inaequilaterale Bory ex Willd.",7.5,80.7,1
"Asplenium inaequilaterale Bory ex Willd.",7,81,1
"Asplenium inaequilaterale Bory ex Willd.",7.3,80.6,1
"Asplenium inaequilaterale Bory ex Willd.",7.4,80.8,1
"Asplenium inaequilaterale Bory ex Willd.",6.8,80.9,1
"Lindsaea lancea (L.) Bedd.",7,81,1
"Asplenium tenerum G.Forst.",7.2,80.6,1
"Asplenium tenerum G.Forst.",7,81,1
"Asplenium tenerum G.Forst.",7.6,80.8,1
"Asplenium tenerum G.Forst.",7.6,80.7,1
"Pleopeltis amaurolepida Sledge",6.9,81.1,1
"Athyrium cumingianum (C.Presl) Milde",7.2,80.7,1
"Asplenium L.",7,81,1
"Asplenium L.",7,80.8,1
"Asplenium L.",7.5,80.4,1
"Asplenium L.",7.3,80.8,1
"Asplenium L.",7.2,80.1,1
"Asplenium L.",6.3,80.9,1
"Asplenium L.",6.8,80.5,1
"Hypolepis glandulifera Brownsey & Chinnock",7.3,80.8,1
"Dennstaedtia scabra (Wall. ex Hook.) T.Moore",7.1,80.7,1
"Dennstaedtia scabra (Wall. ex Hook.) T.Moore",6.8,80.8,1
"Dennstaedtia scabra (Wall. ex Hook.) T.Moore",7.3,80.8,1
"Lepisorus nudus (Hook.) Ching",7.3,80.8,1
"Lepisorus nudus (Hook.) Ching",6.9,80.8,1
"Lepisorus nudus (Hook.) Ching",7.3,80.6,1
"Lepisorus nudus (Hook.) Ching",7.3,80.9,1
"Lepisorus nudus (Hook.) Ching",7.2,80.6,1
"Lepisorus nudus (Hook.) Ching",7.1,80.6,1
"Lepisorus nudus (Hook.) Ching",7.4,80.8,1
"Lepisorus nudus (Hook.) Ching",8,80.8,1
"Christella dentata (Forssk.) Brownsey & Jermy",7.5,80.6,1
"Christella dentata (Forssk.) Brownsey & Jermy",6.9,80.8,1
"Christella dentata (Forssk.) Brownsey & Jermy",7,81.3,1
"Christella dentata (Forssk.) Brownsey & Jermy",7.3,80.5,1
"Christella dentata (Forssk.) Brownsey & Jermy",6.8,81,1
"Christella dentata (Forssk.) Brownsey & Jermy",6.7,80.8,1
"Christella dentata (Forssk.) Brownsey & Jermy",7,81.1,1
"Asplenium nidus L.",7.6,80.7,1
"Asplenium nidus L.",7.3,80.6,1
"Asplenium nidus L.",6.3,80.9,1
"Asplenium nidus L.",7.2,80.1,1
"Asplenium nidus L.",7.3,80.5,1
"Asplenium nidus L.",6.9,81.3,1
"Microsorum punctatum (L.) Copel.",6.4,80.5,1
"Microsorum punctatum (L.) Copel.",7.2,80.6,1
"Microsorum punctatum (L.) Copel.",7.6,80.7,1
"Athyrium filix-femina (L.) Roth",7,81,1
"Athyrium filix-femina (L.) Roth",6.4,81.3,1
"Tomophyllum epaleatum (Parris) Parris",7.5,80.5,1
"Ficus microcarpa L.fil.",7.9,81,1
"Ficus microcarpa L.fil.",6,80.7,1
"Ficus microcarpa L.fil.",6.9,80.8,1
"Ficus microcarpa L.fil.",7.3,80.6,1
"Ficus microcarpa L.fil.",6.3,81.3,1
"Ficus microcarpa L.fil.",6.8,80.6,1
"Ficus microcarpa L.fil.",8.8,80.4,1
"Ficus microcarpa L.fil.",8.4,80.5,1
"Ficus microcarpa L.fil.",8.3,80.2,1
"Indigofera spicata Forssk.",8.1,81,1
"Indigofera spicata Forssk.",6.4,80.7,1
"Jacaranda mimosifolia D.Don",6.8,80,1
"Jacaranda mimosifolia D.Don",6.9,79.9,1
"Jacaranda mimosifolia D.Don",6.7,80,1
"Jacaranda mimosifolia D.Don",7.3,80.4,1
"Jacaranda mimosifolia D.Don",7.1,80.7,1
"Ficus tinctoria subsp. gibbosa (Blume) Corner",6.8,79.9,1
"Ficus tinctoria subsp. gibbosa (Blume) Corner",7.3,80.8,1
"Ficus tinctoria subsp. gibbosa (Blume) Corner",7,81,1
"Tritaxis glabella var. glabella",7.5,81.2,1
"Tritaxis glabella var. glabella",7.9,80.7,1
"Bromus catharticus Vahl",7,80.8,1
"Bauhinia purpurea L.",7.3,80.4,1
"Ixora pavetta Andrews",8,80.9,1
"Ixora pavetta Andrews",7.3,80.8,1
"Ficus benjamina L.",6.8,80,1
"Ficus benjamina L.",6.7,80.7,1
"Ficus benjamina L.",7.3,80.5,1
"Ficus benjamina L.",8.2,80.8,1
"Cyperus cristatus (Kunth) Mattf. & Kük.",6.8,80,1
"Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders",6.8,79.9,1
"Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders",7.3,80.6,1
"Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders",7.4,80.7,1
"Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders",6.1,81.1,1
"Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders",6.5,81.1,1
"Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders",7.7,81.7,1
"Berrya cordifolia (Willd.) Burret",6.4,80.8,1
"Berrya cordifolia (Willd.) Burret",6.7,80,1
"Berrya cordifolia (Willd.) Burret",7.3,80.6,1
"Berrya cordifolia (Willd.) Burret",7.6,80.4,1
"Berrya cordifolia (Willd.) Burret",6.1,80.9,1
"Berrya cordifolia (Willd.) Burret",7.7,81.7,1
"Berrya cordifolia (Willd.) Burret",9.7,80,1
"Rubus sumatranus Miq.",7,80.8,1
"Portulaca grandiflora Hook.",6.8,80,1
"Portulaca grandiflora Hook.",7.4,80,1
"Portulaca grandiflora Hook.",6.8,80.2,1
"Portulaca grandiflora Hook.",6.4,80.8,1
"Portulaca grandiflora Hook.",6,80.2,1
"Portulaca grandiflora Hook.",6.2,80.1,1
"Crotalaria trichotoma Bojer",6.9,81,1
"Crotalaria trichotoma Bojer",6.9,80.6,1
"Mansoa alliacea (Desv. ex Beauverd) A.H.Gentry",6.8,80,1
"Saraca asoca (Roxb.) W.J.de Wilde",6.9,80,1
"Saraca asoca (Roxb.) W.J.de Wilde",7.3,80.3,1
"Saraca asoca (Roxb.) W.J.de Wilde",6.4,80.2,1
"Saraca asoca (Roxb.) W.J.de Wilde",7.3,80.5,1
"Saraca asoca (Roxb.) W.J.de Wilde",6.5,81.3,1
"Saraca asoca (Roxb.) W.J.de Wilde",7.4,80.7,1
"Saraca asoca (Roxb.) W.J.de Wilde",7.3,80.6,1
"Saraca asoca (Roxb.) W.J.de Wilde",8,80.7,1
"Saraca asoca (Roxb.) W.J.de Wilde",6.4,80.1,1
"Saraca asoca (Roxb.) W.J.de Wilde",7.2,80.5,1
"Christella parasitica (L.) H.Lév.",7,80.4,1
"Christella parasitica (L.) H.Lév.",7.8,80.8,1
"Christella parasitica (L.) H.Lév.",7.3,80.6,1
"Christella parasitica (L.) H.Lév.",7.3,80.5,1
"Christella hispidula (Decne.) Holttum",6.6,80.7,1
"Christella hispidula (Decne.) Holttum",6.4,80.5,1
"Solanaceae",7,80.9,1
"Solanaceae",6.2,80.7,1
"Solanaceae",7.2,80.6,1
"Solanaceae",8.1,80.3,1
"Meyenia Nees",6.6,80.7,1
"Reinwardtia indica Dumort.",7.3,80.6,1
"Reinwardtia Dumort.",7.3,80.6,1
"Orthotrichales",7.3,80.6,1
"Solanum L.",6.9,80,1
"Solanum L.",7,80.8,1
"Solanum L.",5.9,80.5,1
"Solanum L.",6.8,81,1
"Solanum L.",7.5,80.6,1
"Solanum L.",7.5,80.8,1
"Solanum L.",7.3,80.9,1
"Geranium nepalense Sweet",7.3,80.6,1
"Geranium nepalense Sweet",6.9,80.8,1
"Geranium nepalense Sweet",7.9,80.8,1
"Fabaceae",7.1,80,1
"Fabaceae",6.2,80.9,1
"Fabaceae",7.4,80.6,1
"Fabaceae",8.3,81,1
"Fabaceae",7.3,80.5,1
"Fabaceae",6.7,80.1,1
"Fabaceae",7.9,80.7,1
"Fabaceae",8.1,80.7,1
"Fabaceae",6.9,79.9,1
"Fabaceae",7.4,81,1
"Fabaceae",8.1,80.5,1
"Fabaceae",7.9,81,1
"Etlingera Giseke",7.4,80.8,1
"Hemerocallis L.",7.2,80.6,1
"Osbeckia L.",7.4,80.7,1
"Osbeckia L.",6.9,80.9,1
"Osbeckia L.",7.2,80.4,1
"Osbeckia L.",6.6,80.4,1
"Osbeckia L.",6.9,80.8,1
"Osbeckia L.",7.2,80.2,1
"Osbeckia L.",6.5,80.6,1
"Osbeckia L.",7.3,80.7,1
"Osbeckia L.",7.6,80.5,1
"Osbeckia L.",7.4,80.6,1
"Osbeckia L.",7.3,80.5,1
"Osbeckia L.",6.8,80.8,1
"Osbeckia L.",6.9,80.2,1
"Osbeckia L.",7.3,80.8,1
"Oncidium Sw.",7.3,80.6,1
"Aspleniaceae",7.3,80.6,1
"Aspleniaceae",7.5,80.4,1
"Eriocaulon L.",6.5,80.2,1
"Eriocaulon L.",7.3,80.6,1
"Eriocaulon L.",7,80.8,1
"Eriocaulon L.",6.8,80.2,1
"Eriocaulon L.",6.5,81.4,1
"Eriocaulon L.",7.4,80.2,1
"Sphagneticola O.Hoffm.",6,80.5,1
"Phanera Lour.",7.3,80.6,1
"Pteridaceae",6.8,80.4,1
"Pteridaceae",6.9,79.9,1
"Pteridaceae",7.4,80.7,1
"Pteridaceae",7.1,80,1
"Asystasia Blume",7.2,80.4,1
"Asystasia Blume",7.2,80,1
"Asystasia Blume",7.4,80.5,1
"Spathodea Beauverd",7.2,80.6,1
"Pontederia L.",8.1,80.4,1
"Pontederia L.",7.2,80.2,1
"Adiantum L.",6.3,80.5,1
"Adiantum L.",6.7,80.5,1
"Adiantum L.",6.6,80.4,1
"Adiantum L.",7.6,80.8,1
"Adiantum L.",7.4,80.9,1
"Ocimum tenuiflorum L.",7.2,80.4,1
"Ocimum tenuiflorum L.",9.3,80.7,1
"Ocimum tenuiflorum L.",6.5,80.9,1
"Ocimum tenuiflorum L.",6.4,80.8,1
"Ocimum tenuiflorum L.",6,80.2,1
"Ocimum tenuiflorum L.",7.2,79.8,1
"Ocimum tenuiflorum L.",6.9,80,1
"Ocimum tenuiflorum L.",6,80.5,1
"Ocimum tenuiflorum L.",6,80.7,1
"Ocimum tenuiflorum L.",6.3,80,1
"Ocimum tenuiflorum L.",8.1,79.9,1
"Ocimum tenuiflorum L.",9.8,80.3,1
"Ocimum tenuiflorum L.",8.2,79.7,1
"Pogostemon Desf.",7.3,80.6,1
"Eleusine coracana (L.) Gaertn.",8.1,80.5,1
"Eleusine coracana (L.) Gaertn.",9.7,80.1,1
"Eleusine coracana (L.) Gaertn.",8.1,80.7,1
"Eleusine coracana (L.) Gaertn.",7.4,80.4,1
"Eleusine coracana (L.) Gaertn.",8.2,80.3,1
"Eleusine coracana (L.) Gaertn.",7.3,81.1,1
"Eleusine coracana (L.) Gaertn.",8.5,80.8,1
"Eleusine coracana (L.) Gaertn.",8.4,80.5,1
"Eleusine coracana (L.) Gaertn.",8.4,80.7,1
"Eleusine coracana (L.) Gaertn.",6.2,80.8,1
"Eleusine coracana (L.) Gaertn.",7.3,80.1,1
"Eleusine coracana (L.) Gaertn.",9.2,80.5,1
"Hibiscus L.",6.4,80.8,1
"Hibiscus L.",5.9,80.5,1
"Clidemia hirta (L.) D.Don",6.9,81.1,1
"Clidemia hirta (L.) D.Don",6.4,80.4,1
"Clidemia hirta (L.) D.Don",6.6,80,1
"Clidemia hirta (L.) D.Don",7.2,80.6,1
"Pothos L.",7.1,80.3,1
"Pothos L.",6.8,80.5,1
"Pothos L.",6.7,80.4,1
"Pothos L.",7.3,80.6,1
"Pothos L.",6.3,80.3,1
"Pothos L.",6.4,80.4,1
"Myristicaceae",6,80.5,1
"Trentepohlia Martius, 1817",7.3,80.6,1
"Cucurbita L.",7.1,80.3,1
"Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl",7.3,80.6,1
"Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl",6.8,80.5,1
"Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl",7,80.8,1
"Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl",7.9,80.8,1
"Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl",6.9,80.6,1
"Ouret Adans.",7.2,80.6,1
"Selaginella P.Beauv.",7.1,80.3,1
"Selaginella P.Beauv.",6.8,80.9,1
"Selaginella P.Beauv.",6.1,80.5,1
"Selaginella P.Beauv.",6.5,80.4,1
"Selaginella P.Beauv.",6.4,80.2,1
"Selaginella P.Beauv.",6,80.7,1
"Selaginella P.Beauv.",6.7,80.6,1
"Selaginella P.Beauv.",7.1,80.7,1
"Selaginella P.Beauv.",6.8,80.8,1
"Selaginella P.Beauv.",6.5,80.5,1
"Selaginella P.Beauv.",7.4,80.8,1
"Selaginella P.Beauv.",7.3,80.5,1
"Selaginella P.Beauv.",7.3,80.8,1
"Selaginella P.Beauv.",7.2,80.7,1
"Selaginella P.Beauv.",8,80.8,1
"Selaginella P.Beauv.",6.1,80.2,1
"Selaginella P.Beauv.",6.7,80.5,1
"Selaginella P.Beauv.",6.9,80.8,1
"Selaginella P.Beauv.",6.2,80.4,1
"Selaginella P.Beauv.",6.6,80.8,1
"Selaginella P.Beauv.",7,80.7,1
"Selaginella P.Beauv.",6.6,80.3,1
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne",8,81,1
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne",7.2,79.9,1
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne",7.3,80.6,1
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne",8,80.7,1
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne",6.3,81.3,1
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne",6,80.5,1
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne",7.9,80.7,1
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne",6.7,80.4,1
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne",8.6,81.2,1
"Sonneratia caseolaris (L.) Engl.",6.8,79.9,1
"Sonneratia caseolaris (L.) Engl.",6.1,80.9,1
"Sonneratia caseolaris (L.) Engl.",7.3,79.8,1
"Sonneratia caseolaris (L.) Engl.",5.9,80.6,1
"Sonneratia caseolaris (L.) Engl.",6.9,79.9,1
"Sonneratia caseolaris (L.) Engl.",6.4,80,1
"Sonneratia caseolaris (L.) Engl.",6.2,80.1,1
"Premna tomentosa Willd.",7.6,81.2,1
"Premna tomentosa Willd.",7.8,80.8,1
"Premna tomentosa Willd.",7.7,80.4,1
"Coldenia procumbens L.",7,81.7,1
"Coldenia procumbens L.",8,80.7,1
"Coldenia procumbens L.",8.7,81.2,1
"Coldenia procumbens L.",8.4,80.5,1
"Coldenia procumbens L.",8.8,80.3,1
"Uniyala wightiana (Arn.) H.Rob. & Skvarla",6.9,80.8,1
"Palhinhaea cernua (L.) Vasc. & Franco",6.8,81,1
"Palhinhaea cernua (L.) Vasc. & Franco",7.3,80.6,1
"Palhinhaea cernua (L.) Vasc. & Franco",6.4,80.4,1
"Palhinhaea cernua (L.) Vasc. & Franco",7,80.4,1
"Psiadia ceylanica (Arn.) Grierson",7,80.8,1
"Psiadia ceylanica (Arn.) Grierson",7.4,80.8,1
"Psiadia ceylanica (Arn.) Grierson",7.3,80.9,1
"Psiadia ceylanica (Arn.) Grierson",7.6,80.8,1
"Psiadia ceylanica (Arn.) Grierson",7.5,80.7,1
"Psiadia ceylanica (Arn.) Grierson",6.5,80.6,1
"Cestrum fasciculatum (Schltdl.) Miers",6.8,80.8,1
"Cestrum fasciculatum (Schltdl.) Miers",7,80.7,1
"Cestrum fasciculatum (Schltdl.) Miers",6.9,80.8,1
"Cestrum fasciculatum (Schltdl.) Miers",6.8,80.7,1
"Thunbergia laevis Wall. ex Nees",7.7,80.6,1
"Lagerstroemia indica L.",7.7,81.7,1
"Wahlenbergia marginata (Thunb.) A.DC.",6.8,81,1
"Ixora coccinea var. coccinea",6.8,79.9,1
"Morinda coreia Buch.-Ham.",7.6,81.3,1
"Morinda coreia Buch.-Ham.",7.9,81,1
"Morinda coreia Buch.-Ham.",9.6,80.1,1
"Morinda coreia Buch.-Ham.",8.6,81.2,1
"Morinda coreia Buch.-Ham.",7.4,81.7,1
"Morinda coreia Buch.-Ham.",7.4,81.9,1
"Morinda coreia Buch.-Ham.",8.9,80,1
"Morinda coreia Buch.-Ham.",7.5,81.4,1
"Morinda coreia Buch.-Ham.",8,79.8,1
"Morinda coreia Buch.-Ham.",9.8,80.1,1
"Dillenia indica L.",7,79.9,1
"Dillenia indica L.",6.4,80.5,1
"Celosia spicata André, 1849",7.4,80.7,1
"Crocosmia × crocosmiiflora (Lemoine) N.E.Br.",7,80.7,1
"Talinum fruticosum (L.) Juss.",6.8,79.9,1
"Talinum fruticosum (L.) Juss.",9.3,80.7,1
"Talinum fruticosum (L.) Juss.",7.2,80.4,1
"Talinum fruticosum (L.) Juss.",8,79.7,1
"Talinum fruticosum (L.) Juss.",7.4,79.8,1
"Talinum fruticosum (L.) Juss.",7.5,80.6,1
"Talinum fruticosum (L.) Juss.",7,80.8,1
"Talinum fruticosum (L.) Juss.",6.4,80.8,1
"Talinum fruticosum (L.) Juss.",6.9,80,1
"Talinum fruticosum (L.) Juss.",6.9,81.1,1
"Talinum fruticosum (L.) Juss.",6,80.7,1
"Talinum fruticosum (L.) Juss.",6.3,80.1,1
"Anaphalis brevifolia DC.",7.6,80.7,1
"Asparagus gonoclados Baker",6,80.3,1
"Asparagus gonoclados Baker",7.1,80.7,1
"Strobilanthes reptans (G.Forst.) Moylan ex Y.F.Deng & J.R.I.Wood",6.8,79.9,1
"Strobilanthes reptans (G.Forst.) Moylan ex Y.F.Deng & J.R.I.Wood",6.9,80,1
"Cochlospermum religiosum (L.) Alston",6.8,80,1
"Alternanthera sessilis (L.) R.Br. ex DC.",6.8,79.9,1
"Alternanthera sessilis (L.) R.Br. ex DC.",6.9,80,1
"Alternanthera sessilis (L.) R.Br. ex DC.",8,81.5,1
"Alternanthera sessilis (L.) R.Br. ex DC.",9.6,80.2,1
"Alternanthera sessilis (L.) R.Br. ex DC.",8.4,80.5,1
"Alternanthera sessilis (L.) R.Br. ex DC.",7.3,80.5,1
"Sphaerostephanos subtruncatus (Bory) Holttum",7,81,1
"Sphaerostephanos subtruncatus (Bory) Holttum",6.8,80.4,1
"Sphaerostephanos subtruncatus (Bory) Holttum",6.5,80.5,1
"Antrophyum plantagineum (Cav.) Kaulf.",6.9,80.8,1
"Antrophyum plantagineum (Cav.) Kaulf.",6.8,80.9,1
"Antrophyum plantagineum (Cav.) Kaulf.",7.3,80.8,1
"Antrophyum plantagineum (Cav.) Kaulf.",7.3,80.6,1
"Alsophila walkerae (Hook.) J.Sm.",6.9,79.8,1
"Alsophila walkerae (Hook.) J.Sm.",7.1,80.7,1
"Metathelypteris flaccida (Blume) Ching",6.8,81,1
"Metathelypteris flaccida (Blume) Ching",7.6,80.8,1
"Metathelypteris flaccida (Blume) Ching",7.8,80.8,1
"Metathelypteris flaccida (Blume) Ching",7.2,80.7,1
"Metathelypteris flaccida (Blume) Ching",7.6,80.7,1
"Haplopteris ensiformis (Sw.) E.H.Crane",6.7,80.6,1
"Sphaerostephanos unitus (L.) Holttum",7.8,80.8,1
"Sphaerostephanos unitus (L.) Holttum",7.6,80.8,1
"Sphaerostephanos unitus (L.) Holttum",6.9,80.8,1
"Sphaerostephanos unitus (L.) Holttum",7.3,80.8,1
"Sphaerostephanos unitus (L.) Holttum",7.6,80.7,1
"Cheilanthes tenuifolia (Burm.fil.) Sw.",7.1,80.6,1
"Cheilanthes tenuifolia (Burm.fil.) Sw.",7.2,80.6,1
"Cheilanthes tenuifolia (Burm.fil.) Sw.",7.3,80.5,1
"Cheilanthes tenuifolia (Burm.fil.) Sw.",7.3,80.6,1
"Cheilanthes farinosa (Forssk.) Kaulf.",6.9,80.8,1
"Cheilanthes farinosa (Forssk.) Kaulf.",7,81,1
"Adiantum raddianum C.Presl",7,80.8,1
"Adiantum raddianum C.Presl",6.9,80.7,1
"Adiantum raddianum C.Presl",7.6,80.8,1
"Adiantum raddianum C.Presl",7.3,80.8,1
"Adiantum raddianum C.Presl",7.2,80.6,1
"Adiantum raddianum C.Presl",7.3,80.6,1
"Adiantum hispidulum Sw.",6.9,81.1,1
"Adiantum hispidulum Sw.",7,81,1
"Adiantum hispidulum Sw.",7.6,80.8,1
"Adiantum hispidulum Sw.",6.7,80.2,1
"Parahemionitis arifolia (Burm.fil.) Panigrahi",6.6,80.7,1
"Sphaerostephanos arbusculus (Willd.) Holttum",7.8,80.8,1
"Sphaerostephanos arbusculus (Willd.) Holttum",7.6,80.8,1
"Sphaerostephanos arbusculus (Willd.) Holttum",7.3,80.8,1
"Sphaerostephanos arbusculus (Willd.) Holttum",7.2,80.6,1
"Sphaerostephanos arbusculus (Willd.) Holttum",7,80.7,1
"Sphaerostephanos arbusculus (Willd.) Holttum",6.3,80.6,1
"Sphaerostephanos arbusculus (Willd.) Holttum",7.2,80.7,1
"Ceratopteris thalictroides (L.) Brongn.",7.3,80.8,1
"Ceratopteris thalictroides (L.) Brongn.",6,80.4,1
"Ceratopteris thalictroides (L.) Brongn.",7.9,80.7,1
"Ceratopteris thalictroides (L.) Brongn.",7.8,80.8,1
"Pseudocyclosorus tylodes (Kunze) Ching",7.5,80.7,1
"Pseudocyclosorus tylodes (Kunze) Ching",7.4,80.8,1
"Pseudocyclosorus tylodes (Kunze) Ching",6.8,80.8,1
"Blechnum orientale L.",6.6,80.6,1
"Blechnum orientale L.",7.4,80.8,1
"Blechnum orientale L.",6.7,81,1
"Blechnum orientale L.",6.9,80.8,1
"Blechnum orientale L.",6.8,81,1
"Blechnum orientale L.",6.2,80.1,1
"Blechnum orientale L.",7.9,80.7,1
"Blechnum orientale L.",6.8,80.9,1
"Cheilanthes mysurensis Wall. ex Hook.",6.8,81.1,1
"Cheilanthes mysurensis Wall. ex Hook.",7.5,80.6,1
"Antrophyum callifolium Blume",6.8,80.4,1
"Paraceterach Copel.",7.1,80.6,1
"Adiantum zollingeri Mett.",7.3,80.6,1
"Adiantum latifolium Lam.",7.1,79.9,1
"Adiantum latifolium Lam.",6.4,80.4,1
"Adiantum latifolium Lam.",7.1,80.2,1
"Adiantum latifolium Lam.",7,79.9,1
"Adiantum latifolium Lam.",7,81,1
"Adiantum latifolium Lam.",7.4,80.4,1
"Adiantum latifolium Lam.",7.2,80.2,1
"Adiantum concinnum Humb. & Bonpl. ex Willd.",7.3,80.8,1
"Adiantum concinnum Humb. & Bonpl. ex Willd.",6.9,81,1
"Adiantum concinnum Humb. & Bonpl. ex Willd.",7,81,1
"Adiantum concinnum Humb. & Bonpl. ex Willd.",7.3,80.9,1
"Adiantum concinnum Humb. & Bonpl. ex Willd.",7.3,80.5,1
"Hoya carnosa (L.fil.) R.Br.",7,80.1,1
"Jatropha podagrica Hook.",7,80.1,1
"Jatropha podagrica Hook.",6.9,79.9,1
"Pteridium aquilinum (L.) Kuhn",7.4,80.8,1
"Pteridium aquilinum (L.) Kuhn",6.8,81.1,1
"Pteridium aquilinum (L.) Kuhn",7,81,1
"Benkara malabarica (Lam.) Tirveng.",9.5,80.6,1
"Diospyros nummulariifolia Kosterm.",7,81.8,1
"Diospyros nummulariifolia Kosterm.",6.9,81.7,1
"Diospyros nummulariifolia Kosterm.",9.2,80.4,1
"Cajanus scarabaeoides (L.) Thouars",7.2,81.6,1
"Cajanus scarabaeoides (L.) Thouars",7.2,81.5,1
"Cajanus scarabaeoides (L.) Thouars",8.1,80.3,1
"Cajanus scarabaeoides (L.) Thouars",6.2,80.7,1
"Cajanus scarabaeoides (L.) Thouars",9.4,80.6,1
"Cajanus scarabaeoides (L.) Thouars",8.2,80.5,1
"Cajanus scarabaeoides (L.) Thouars",8.4,80.4,1
"Triphasia trifolia (Burm.fil.) P.Wilson",6.9,79.9,1
"Canthium coromandelicum (Burm.f.) Alston",6.9,81.7,1
"Canthium coromandelicum (Burm.f.) Alston",6.4,81.3,1
"Canthium coromandelicum (Burm.f.) Alston",7.9,81,1
"Canthium coromandelicum (Burm.f.) Alston",9.6,80.3,1
"Derris trifoliata Lour.",7.9,81.6,1
"Derris trifoliata Lour.",7.4,79.8,1
"Derris trifoliata Lour.",7.7,79.8,1
"Derris trifoliata Lour.",6.6,80,1
"Derris trifoliata Lour.",6.7,80,1
"Derris trifoliata Lour.",8.5,81.2,1
"Derris trifoliata Lour.",6.5,81.7,1
"Derris trifoliata Lour.",6.6,80.7,1
"Derris trifoliata Lour.",7.1,80.3,1
"Litsea ovalifolia (Wight) Trimen",6.8,80.8,1
"Litsea ovalifolia (Wight) Trimen",8.4,80.7,1
"Litsea ovalifolia (Wight) Trimen",6.7,80.4,1
"Toona sinensis (A.Juss.) M.Roem.",7.1,80.7,1
"Sesamum radiatum Schumach. & Thonn.",7.2,81.6,1
"Sesamum radiatum Schumach. & Thonn.",6.7,79.9,1
"Sesamum radiatum Schumach. & Thonn.",6.8,81.8,1
"Sesamum radiatum Schumach. & Thonn.",7.4,81,1
"Coffea canephora Pierre ex A.Froehner",7.3,80.6,1
"Hygrophila auriculata (Schumach.) Heine",8.8,80.6,1
"Hygrophila auriculata (Schumach.) Heine",8,80.8,1
"Hygrophila auriculata (Schumach.) Heine",9.4,80.2,1
"Hygrophila auriculata (Schumach.) Heine",8.4,80.4,1
"Hygrophila auriculata (Schumach.) Heine",8,80.6,1
"Hygrophila auriculata (Schumach.) Heine",8,80.7,1
"Hygrophila auriculata (Schumach.) Heine",8.3,80.4,1
"Hygrophila auriculata (Schumach.) Heine",7.7,79.8,1
"Hygrophila auriculata (Schumach.) Heine",6.4,81.5,1
"Hygrophila auriculata (Schumach.) Heine",7.5,80.9,1
"Neoregelia spectabilis (Antoine) L.B.Sm.",7.3,80.6,1
"Strobilanthes walkeri Arn. ex Nees",7.3,80.5,1
"Strobilanthes walkeri Arn. ex Nees",7.4,80.7,1
"Strobilanthes walkeri Arn. ex Nees",6.7,80.8,1
"Strobilanthes walkeri Arn. ex Nees",7.1,80.5,1
"Strobilanthes walkeri Arn. ex Nees",6.7,80.7,1
"Merremia hederacea (Burm.fil.) Hallier fil.",7.2,81.7,1
"Merremia hederacea (Burm.fil.) Hallier fil.",6.4,81.5,1
"Merremia hederacea (Burm.fil.) Hallier fil.",8.3,80.4,1
"Merremia hederacea (Burm.fil.) Hallier fil.",7.4,81.3,1
"Merremia hederacea (Burm.fil.) Hallier fil.",7.9,80.7,1
"Piper sarmentosum Roxb.",7,80.1,1
"Piper sarmentosum Roxb.",9.3,80.7,1
"Piper sarmentosum Roxb.",6.1,81.1,1
"Piper sarmentosum Roxb.",6.7,79.9,1
"Piper sarmentosum Roxb.",6,80.2,1
"Piper sarmentosum Roxb.",7.3,80.6,1
"Piper sarmentosum Roxb.",6.7,80.1,1
"Limnophila aromatica (Lam.) Merr.",6.9,81.7,1
"Limnophila aromatica (Lam.) Merr.",6.6,80.2,1
"Limnophila aromatica (Lam.) Merr.",6,80.3,1
