scientific_name,latitude,longitude,observation_count
"Miconia crenata (Vahl) Michelang.",6.9,81.1,13
"Asystasia intrusa (Forssk.) Blume",7.2,80,13
"Ipomoea pes-caprae (L.) R.Br.",5.9,80.5,13
"Calotropis gigantea (L.) W.T.Aiton",6.5,80.9,13
"Calotropis gigantea (L.) W.T.Aiton",6.2,81.2,13
"Coleus kanneliyensis L.H.Cramer & S.Balas.",6.4,80.4,13
"Psidium guajava L.",6.8,80,13
"Clerodendrum infortunatum L.",6.4,80.4,13
"Ficus religiosa L.",6.9,79.9,13
"Ixora coccinea Comm. ex Lam.",6.9,79.9,13
"Impatiens flaccida Arn.",7,80.4,13
"Pigea enneasperma (L.) P.I.Forst.",8,80.8,13
"Plantae",6.9,79.9,13
"Biophytum DC.",7.3,80.6,13
"Amherstia nobilis Wall.",7.3,80.6,13
"Gaertnera walkeri (Arn.) Blume",6.8,80.5,13
"Dioscorea alata L.",7.5,80.1,13
"Oryza rufipogon Griff.",7.9,80.7,13
"Shorea ovalifolia (Thwaites) P.S.Ashton",7.3,80.6,13
"Oryza nivara S.D.Sharma & Shastry",7.2,81,13
"Oryza sativa L.",9.8,80,12
"Oryza sativa L.",9.7,80.3,12
"Oryza sativa L.",6.2,80.8,12
"Mimosa pudica L.",6.9,81.1,12
"Mimosa pudica L.",6.4,80.4,12
"Miconia crenata (Vahl) Michelang.",6.4,80.6,12
"Asystasia intrusa (Forssk.) Blume",6.8,80,12
"Sphagneticola trilobata (L.) Pruski",7.3,80.6,12
"Murraya paniculata (L.) Jacq.",6.8,80,12
"Cascabela thevetia (L.) Lippold",8,80.8,12
"Caryota urens L.",7.3,80.6,12
"Strobilanthes viscosa (Arn. ex Nees) T.Anderson",7,80.8,12
"Barringtonia asiatica (L.) Kurz",6,80.3,12
"Dillenia suffruticosa (Griff.) Martelli",6.4,80.4,12
"Centella asiatica (L.) Urb.",6.8,80,12
"Tridax procumbens L.",7.3,80.6,12
"Nymphaea rubra Roxb. ex Andr.",6.9,79.9,12
"Elephantopus scaber L.",7.3,80.6,12
"Thunbergia erecta (Benth.) T.Anderson",7.3,80.6,12
"Opuntia stricta (Haw.) Haw.",6.2,81.2,12
"Actinodaphne speciosa Nees",6.8,80.8,12
"Plantae",7.4,80.6,12
"Plantae",7.2,80.4,12
"Plantae",6.8,79.9,12
"Selaginella P.Beauv.",7.6,80.8,12
"Wahlenbergia marginata (Thunb.) A.DC.",6.8,80.8,12
"Gaertnera vaginans (DC.) Merr.",6.4,80.4,12
"Axinandra zeylanica Thwaites",6.8,80.5,12
"Exacum pallidum (Trimen) Klack.",6.8,80.5,12
"Isachne walkeri (Arn. ex Steud.) Wight & Arn. ex Hook.f.",6.8,80.5,12
"Shorea lissophylla Thwaites",7.3,80.6,12
"Oryza sativa L.",7,81.5,11
"Agrostistachys borneensis Becc.",6.8,80.5,11
"Mangifera indica L.",7.3,80.6,11
"Nepenthes distillatoria L.",6.3,80.4,11
"Cerbera odollam Gaertn.",6.9,79.9,11
"Calotropis gigantea (L.) W.T.Aiton",6.3,81.4,11
"Elaeocarpus serratus L.",6.8,80,11
"Pontederia crassipes Mart.",6.9,79.9,11
"Pontederia crassipes Mart.",6.3,81.3,11
"Ficus religiosa L.",8.3,80.4,11
"Barringtonia asiatica (L.) Kurz",6.9,79.8,11
"Exacum trinervium (L.) Druce",7.4,80.8,11
"Solanum torvum Sw.",6.9,79.9,11
"Impatiens elongata Arn.",6.8,80.5,11
"Caesalpinia pulcherrima (L.) Sw.",6.9,79.9,11
"Salvinia × molesta D.S.Mitch.",6.9,79.9,11
"Plantae",7.5,80.4,11
"Plantae",5.9,80.6,11
"Plantae",7.1,80.6,11
"Plantae",6.8,80.4,11
"Plantae",6.4,80.4,11
"Medinilla fuchsioides Gardner",6.8,80.8,11
"Psychotria zeylanica Sohmer",7,80.8,11
"Osbeckia aspera (L.) Blume",7.4,80.8,11
"Oryza eichingeri Peter",8.2,80.7,11
"Lagenandra ovata (L.) Thwaites",6.7,80.2,11
"Dioscorea alata L.",7,79.9,11
"Dioscorea alata L.",7.4,80.1,11
"Cinnamomum dubium Nees",6.4,80.4,11
"Eragrostis japonica (Thunb.) Trin.",7.9,80.8,11
"Kuruna scandens (Soderstr. & R.P.Ellis) Attigala, Kaththr. & L.G.Clark",7,80.4,11
"SH0879854.09FU",6.4,80.4,11
"Oryza rufipogon Griff.",6.7,80,11
"Hopea jucunda subsp. modesta DC.",7.3,80.6,11
"Sapindales",7.6,80.7,11
"Oryza sativa L.",8.4,81.3,10
"Actephila excelsa (Dalzell) Müll.Arg.",8.1,80.7,10
"Ficus benghalensis L.",6.9,79.9,10
"Nepenthes distillatoria L.",6.4,80.6,10
"Nepenthes distillatoria L.",6.6,80.4,10
"Miconia crenata (Vahl) Michelang.",6.4,80.5,10
"Sphagneticola trilobata (L.) Pruski",6.4,80.4,10
"Tecomaria capensis (Thunb.) Spach",6.8,80,10
"Cyperus mindorensis (Steud.) Huygh",6.8,80,10
"Heliconia psittacorum L.f.",6.9,79.9,10
"Barringtonia asiatica (L.) Kurz",6,80.4,10
"Barringtonia asiatica (L.) Kurz",6.9,79.9,10
"Dillenia suffruticosa (Griff.) Martelli",6.9,79.9,10
"Tamarindus indica L.",6.8,80,10
"Solanum mauritianum Scop.",6.9,80.8,10
"Hedyotis plantaginifolia Arn.",6.8,80.8,10
"Ipomoea cairica (L.) Sweet",7.3,80.6,10
"Halimeda gracilis Harv. ex J.Agardh",6,80.7,10
"Rubus ellipticus Sm.",6.8,80.8,10
"Plantae",6.4,80.5,10
"Adiantum L.",7.3,80.6,10
"Coldenia procumbens L.",6.9,81.7,10
"Dolichandra unguis-cati (L.) L.G.Lohmann",7.3,80.6,10
"Casearia zeylanica (Gaertn.) Thwaites",7.4,80.8,10
"Ipomoea L.",7.3,80.6,10
"Memecylon L.",6.4,80.4,10
"Syzygium Gaertn.",6.4,80.4,10
"Kuruna debilis (Thwaites) Attigala, Kaththr. & L.G.Clark",6.8,80.5,10
"Oryza eichingeri Peter",7.9,80.8,10
"Dioscorea alata L.",9.7,80.1,10
"Dioscorea alata L.",7.2,80.7,10
"Dioscorea alata L.",7.2,80.1,10
"Dioscorea alata L.",6.1,80.3,10
"Cinnamomum ovalifolium Wight",6.8,80.6,10
"Lepturus radicans (Steud.) A.Camus",7.9,80.8,10
"SH0881371.09FU",6.4,80.4,10
"Stemonoporus gracilis Kosterm.",7,80.4,10
"Vatica chinensis L.",7.3,80.6,10
"Spondias mombin L.",7.3,80.6,10
"Tracheophyta",7.3,80.6,10
"Memecylon sylvaticum Thwaites",7.6,80.7,10
"Symplocos obtusa Wall. ex G.Don",7.6,80.7,10
"Oryza sativa L.",7,81.6,9
"Oryza sativa L.",6.6,80.7,9
"Oryza sativa L.",6.7,80,9
"Oryza sativa L.",9.2,80.6,9
"Solanum melongena L.",6.9,79.9,9
"Gloriosa superba L.",6,80.2,9
"Camellia sinensis (L.) Kuntze",6.9,81.1,9
"Mimosa pudica L.",6.9,79.9,9
"Mimosa pudica L.",6.4,80.5,9
"Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.",6.9,79.9,9
"Delonix regia (Bojer ex Hook.) Raf.",6.8,80,9
"Mussaenda frondosa L.",6.4,80.4,9
"Lantana camara L.",6,80.2,9
"Artocarpus heterophyllus Lam.",6.8,80,9
"Artocarpus heterophyllus Lam.",6.9,79.9,9
"Asystasia intrusa (Forssk.) Blume",6.9,79.9,9
"Sphagneticola trilobata (L.) Pruski",6,80.2,9
"Cocos nucifera L.",7.3,80.6,9
"Cocos nucifera L.",6,80.2,9
"Cocos nucifera L.",6.5,80,9
